,text_final
0,"'try', 'take', 'opera', 'bring', 'modern', 'age', 'par', 'take', 'away', 'much', 'beauty', 'say', 'abby', 'roth', 'federalist', 'radio', 'hour'"
1,"'white', 'house', 'press', 'secretary', 'jen', 'psaki', 'hold', 'military', 'fault', 'situation', 'afghanistan', 'hop', 'politician', 'craft', 'solution'"
2,"'ca', 'ignore', 'context', 'book', 'alamo', 'conceive', 'massive', 'push', 'define', 'history', 'u', 'color', 'skin'"
3,"'ask', 'teach', 'critical', 'race', 'theory', 'school', 'white', 'house', 'press', 'secretary', 'jen', 'psaki', 'spin', 'racist', 'curriculum', 'teaching', 'american', 'history'"
4,"'suspect', 'forever', 'lockdown', 'reduction', 'standard', 'living', 'elite', 'liberal', 'want', 'along'"
5,"'dismembered', 'unborn', 'baby', 'throw', 'dumpster', 'behind', 'ohio', 'abortion', 'center', 'violation', 'state', 'law', 'accord', 'group'"
6,"'sean', 'penn', 'say', 'think', 'would', 'permit', 'today', 'hollywood', 'woke', 'standard', 'play', 'harvey', 'milk', 'film', 'since', 'gay'"
7,"'district', 'court', 'rule', 'government', 'directly', 'responsible', 'mass', 'shooting', 'take', 'life', 'people', 'church', 'texas'"
8,"'chris', 'bedford', 'slam', 'new', 'york', 'time', 'call', 'child', 'expose', 'literacy', 'sexual', 'idea'"
9,"'toyota', 'originally', 'claim', 'fund', 'lawmaker', 'vote', 'electoral', 'certification', 'later', 'meet', 'mob', 'demand'"
10,"'audit', 'statewide', 'recount', 'confirm', 'joe', 'biden', 'victory', 'ignore', 'process', 'evidence', 'nearly', 'georgian', 'potentially', 'vote', 'illegally', 'biden', 'margin'"
11,"'incumbent', 'american', 'patriot', 'work', 'intelligence', 'agency', 'stand', 'abuse', 'organization', 'political', 'purpose', 'biden', 'administration'"
12,"'femme', 'fatale', 'smart', 'sexy', 'unapologetically', 'feminine', 'live', 'term', 'precisely', 'make', 'empowering'"
13,"'mclaughlin', 'good', 'also', 'seem', 'treat', 'olympics', 'chance', 'glorify', 'god', 'honor', 'country', 'publicity', 'stunt'"
14,"'happen', 'tesla', 'china', 'serve', 'warning', 'american', 'business', 'addict', 'size', 'potential', 'chinese', 'market'"
15,"'wade', 'hot', 'educational', 'mess', 'critical', 'race', 'theory', 'forget', 'way', 'joe', 'biden', 'screw', 'kid', 'future'"
16,"'expand', 'medicaid', 'threaten', 'kick', 'nearly', 'north', 'carolinian', 'private', 'insurance', 'onto', 'medicaid', 'everywhere'"
17,"'late', 'contempt', 'flag', 'sport', 'event', 'raise', 'question', 'whether', 'ritual', 'abandon', 'prevent', 'insult', 'one', 'culture', 'war', 'battle', 'lose'"
18,"'corporate', 'america', 'feed', 'obesity', 'crisis', 'decade', 'parade', 'creation', 'television', 'normalize', 'obesity', 'process'"
19,"'spokesman', 'curriculum', 'threaten', 'possible', 'legal', 'action', 'mom', 'liberty', 'group', 'post', 'image', 'radical', 'leftist', 'book'"
20,"'chicago', 'public', 'school', 'set', 'provide', 'condom', 'student', 'year', 'fall', 'basis', 'pedagogy'"
21,"'senior', 'editor', 'mollie', 'hemingway', 'argue', 'give', 'long', 'try', 'cost', 'trillion', 'dollar', 'thousand', 'life'"
22,"'ibram', 'kendi', 'compare', 'parent', 'backlash', 'racist', 'indoctrination', 'school', 'sentiment', 'espouse', 'era'"
23,"'government', 'help', 'ensure', 'wildfire', 'crisis', 'solve', 'stop', 'listen', 'episode', 'federalist', 'radio', 'hour'"
24,"'michael', 'avenatti', 'sentence', 'thursday', 'attempt', 'extort', 'million', 'nike', 'serve', 'year', 'prison'"
25,"'day', 'report', 'come', 'show', 'rise', 'gas', 'price', 'hollywood', 'elite', 'urge', 'biden', 'slash', 'oil', 'pipeline', 'would', 'carry', 'barrel', 'per', 'day'"
26,"'would', 'liberal', 'reasonable', 'person', 'insist', 'illiberal', 'code', 'public', 'school', 'adopt', 'one', 'pet', 'theory', 'major', 'founder', 'horace', 'mann'"
27,"'nra', 'file', 'appeal', 'federal', 'court', 'heel', 'june', 'ruling', 'uphold', 'florida', 'law', 'ban', 'people', 'able', 'buy', 'gun'"
28,"'joy', 'reid', 'go', 'tirade', 'wednesday', 'even', 'goal', 'discredit', 'backlash', 'movement', 'critical', 'race', 'theory'"
29,"'one', 'colorado', 'school', 'district', 'require', 'student', 'see', 'world', 'lens', 'social', 'justice', 'intersectionality', 'graduate'"
30,"'democrat', 'gubernatorial', 'candidate', 'terry', 'mcauliffe', 'lash', 'opponent', 'agree', 'debate', 'likely', 'moderate', 'pb', 'judy', 'woodruff'"
31,"'sixty', 'percent', 'woman', 'abort', 'first', 'pregnancy', 'many', 'due', 'pressure', 'others', 'also', 'seek', 'abortion', 'next', 'unborn', 'child'"
32,"'nbc', 'wapo', 'concerned', 'alleged', 'member', 'qanon', 'somehow', 'fail', 'capture', 'true', 'essence', 'demonstration', 'like'"
33,"'auditor', 'general', 'doug', 'ringler', 'launch', 'investigation', 'whitmer', 'role', 'high', 'number', 'state', 'nursing', 'home', 'death', 'covid', 'lockdown'"
34,"'randi', 'weingarten', 'claim', 'critical', 'race', 'theory', 'teach', 'american', 'federation', 'teacher', 'defend', 'presence', 'classroom'"
35,"'circuit', 'court', 'say', 'keep', 'sanction', 'lawyer', 'marc', 'elia', 'know', 'role', 'russia', 'hoax', 'candor'"
36,"'democrat', 'medium', 'deep', 'state', 'work', 'together', 'ruin', 'conservative', 'demonize', 'ask', 'tucker', 'carlson'"
37,"'anniversary', 'capitol', 'riot', 'black', 'life', 'matter', 'expose', 'exactly', 'unserious', 'left', 'reality', 'day', 'serious', 'use', 'political', 'end'"
38,"'cast', 'brood', 'futurism', 'action', 'vehicle', 'evocative', 'past', 'hit', 'like', 'day', 'give', 'audience', 'lot', 'cheer'"
39,"'dangerous', 'particular', 'emergency', 'source', 'emergency', 'dull', 'sens', 'coax', 'u', 'complacency', 'carefully', 'curated', 'stream', 'colorful', 'notification'"
40,"'kid', 'attend', 'one', 'public', 'school', 'system', 'pennsylvania', 'may', 'send', 'back', 'critical', 'race', 'theory'"
41,"'witness', 'today', 'culmination', 'year', 'independent', 'conservative', 'medium', 'report', 'validate', 'many', 'people', 'face', 'workplace', 'school'"
42,"'something', 'must', 'do', 'stop', 'big', 'tech', 'censorship', 'lawmaker', 'differ', 'come', 'antitrust', 'law', 'section', 'common', 'carrier', 'law'"
43,"'parent', 'need', 'government', 'make', 'family', 'compatible', 'job', 'anything', 'need', 'job', 'compatible', 'parenting'"
44,"'public', 'policy', 'regard', 'sex', 'gender', 'identity', 'guide', 'principle', 'faculty', 'lounge', 'nursery', 'school'"
45,"'face', 'attempt', 'stifle', 'free', 'think', 'propagandist', 'medium', 'big', 'tech', 'censor', 'emulate', 'chitester', 'fight', 'true', 'diversity', 'thought'"
46,"'nsa', 'plan', 'link', 'content', 'email', 'medium', 'outlet', 'would', 'well', 'point', 'course', 'paint', 'disloyal', 'american'"
47,"'instead', 'question', 'express', 'outrage', 'nsa', 'blue', 'checkmarks', 'band', 'together', 'write', 'carlson', 'conspiracy', 'theorist'"
48,"'retire', 'navy', 'seal', 'chief', 'eddie', 'gallagher', 'join', 'federalist', 'radio', 'hour', 'share', 'story', 'military', 'justice', 'system', 'need', 'reform'"
49,"'republican', 'academic', 'policy', 'advisor', 'lanhee', 'chen', 'launch', 'statewide', 'bid', 'california', 'controller', 'tuesday', 'hope', 'end', 'rule', 'sacramento'"
50,"'cnn', 'smear', 'ron', 'johnson', 'climate', 'denier', 'refuse', 'bow', 'left', 'unscientific', 'climate', 'alarmism'"
51,"'pretty', 'clear', 'hunter', 'biden', 'corrupt', 'foreign', 'influence', 'peddle', 'benefit', 'current', 'president', 'united', 'state'"
52,"'national', 'education', 'association', 'approve', 'measure', 'teach', 'critical', 'race', 'theory', 'attack', 'opponent', 'racist', 'curriculum', 'scrub', 'plan', 'website'"
53,"'recent', 'poll', 'show', 'voter', 'support', 'ron', 'desantis', 'republican', 'presidential', 'nominee', 'today', 'assume', 'former', 'president', 'donald', 'trump', 'run'"
54,"'become', 'contentious', 'person', 'professionally', 'advance', 'financially', 'gain', 'account', 'race', 'blm', 'want'"
55,"'pop', 'princess', 'britney', 'spear', 'lawyer', 'samuel', 'ingham', 'iii', 'step', 'celebrity', 'conservatorship'"
56,"'boot', 'big', 'tech', 'site', 'trump', 'announce', 'lawsuit', 'ceo', 'facebook', 'twitter', 'google', 'wednesday', 'press', 'conference'"
57,"'despite', 'name', 'outdoor', 'musical', 'palo', 'duro', 'canyon', 'state', 'park', 'lone', 'star', 'state', 'america', 'need', 'today'"
58,"'gas', 'price', 'roof', 'joe', 'biden', 'presidency', 'analyst', 'say', 'go', 'get', 'bad'"
59,"'ban', 'racist', 'speaking', 'use', 'representative', 'government', 'deny', 'privilege', 'receive', 'taxpayer', 'sinecure', 'help', 'pursue', 'america', 'collapse'"
60,"'path', 'virtually', 'exact', 'reason', 'live', 'tremendous', 'pain', 'result'"
61,"'nothing', 'humane', 'yield', 'border', 'control', 'criminal', 'cartel', 'traffic', 'abandon', 'toddler', 'brutally', 'rape', 'child', 'woman'"
62,"'home', 'home', 'terrify', 'life', 'mayor', 'lori', 'lightfoot', 'carenotcops', 'organizer', 'ashamed'"
63,"'evolution', 'form', 'white', 'supremacy', 'scientific', 'american', 'way', 'say', 'synonymous', 'phrase', 'bible', 'racist'"
64,"'people', 'wear', 'mask', 'default', 'business', 'newly', 'open', 'common', 'sight', 'elsewhere', 'last', 'year', 'still', 'status', 'quo', 'part', 'california'"
65,"'deny', 'priority', 'small', 'business', 'assistance', 'restaurant', 'great', 'need', 'sex', 'race'"
66,"'celebrate', 'america', 'founding', 'fight', 'independence', 'controversial', 'left', 'reaction', 'july', 'prof', 'politicize', 'patriotism'"
67,"'introduce', 'loving', 'playful', 'family', 'blue', 'heeler', 'dog', 'animated', 'series', 'bluey', 'become', 'runaway', 'global', 'hit', 'bring', 'uncommon', 'heart', 'creativity', 'child', 'tv'"
68,"'executive', 'director', 'steer', 'committee', 'cloak', 'tribe', 'righteousness', 'obstruct', 'oil', 'gas', 'development', 'faraway', 'land'"
69,"'president', 'joe', 'biden', 'border', 'crisis', 'swell', 'case', 'surge', 'detention', 'center', 'accord', 'new', 'york', 'time', 'immigration', 'custom', 'enforcement', 'report', 'read'"
70,"'parent', 'must', 'intentional', 'teach', 'child', 'conversation', 'combat', 'leftist', 'narrative', 'michelle', 'easton', 'say'"
71,"'one', 'minor', 'detail', 'complicate', 'cut', 'dry', 'narrative', 'young', 'remove', 'hand', 'white', 'supremacy', 'man', 'put', 'hand', 'also', 'black'"
72,"'democrat', 'terry', 'mcauliffe', 'one', 'many', 'democrat', 'repeat', 'gun', 'lie', 'push', 'agenda'"
73,"'household', 'whether', 'divorce', 'birth', 'wedlock', 'hurt', 'work', 'class', 'much', 'wealthy', 'people', 'write', 'essay', 'new', 'york', 'time'"
