,text_final
0,"'authority', 'michigan', 'identify', 'three', 'body', 'find', 'cabin', 'boat', 'lake', 'clair', 'fire'"
1,"'michigan', 'festival', 'almost', 'turn', 'disastrous', 'carnival', 'park', 'ride', 'start', 'sway', 'threaten', 'tip'"
2,"'fox', 'news', 'host', 'jesse', 'watters', 'visit', 'ingraham', 'angle', 'friday', 'night', 'host', 'laura', 'ingraham', 'discuss', 'pressure', 'campaign', 'wag', 'medium'"
3,"'left', 'defund', 'police', 'movement', 'utter', 'nonsense', 'light', 'rise', 'crime', 'rate', 'city', 'across', 'country', 'senate', 'gop', 'leader', 'mitch', 'mcconnell', 'say', 'week'"
4,"'ken', 'buck', 'say', 'friday', 'republican', 'donations', 'big', 'tech', 'order', 'avoid', 'appearance', 'influence', 'massive', 'corporation', 'tread', 'carefully', 'ask', 'disagreement', 'gop', 'congress'"
5,"'oxygen', 'docuseries', 'florida', 'man', 'murder', 'focus', 'bizarre', 'gruesome', 'case', 'sunshine', 'state'"
6,"'kathy', 'jacob', 'make', 'sport', 'illustrate', 'swimsuit', 'debut', 'part', 'model', 'search'"
7,"'jesse', 'watters', 'one', 'big', 'star', 'cable', 'news', 'five', 'fox', 'news', 'also', 'host', 'show', 'network', 'watters', 'despite', 'fan', 'notoriety', 'also', 'fair', 'share', 'critic'"
8,"'week', 'sean', 'rachel', 'invite', 'guest', 'table', 'dean', 'cheng', 'discuss', 'critical', 'race', 'theory'"
9,"'severe', 'thunderstorm', 'nebraska', 'leave', 'nearly', 'customer', 'without', 'power', 'overnight', 'friday', 'accord', 'report'"
10,"'arizona', 'gov', 'doug', 'ducey', 'announce', 'friday', 'sign', 'two', 'bill', 'regard', 'education', 'state', 'child'"
11,"'texas', 'gov', 'dan', 'patrick', 'vow', 'friday', 'never', 'let', 'state', 'turn', 'democratic', 'call', 'last', 'man', 'stand', 'electorally', 'future', 'democratic', 'presidential', 'candidate'"
12,"'shooting', 'near', 'knott', 'berry', 'farm', 'southern', 'california', 'leave', 'least', 'one', 'minor', 'wound', 'friday', 'evening', 'accord', 'report'"
13,"'jennifer', 'lopez', 'ben', 'affleck', 'see', 'los', 'angeles', 'respective', 'child'"
14,"'tucker', 'carlson', 'expose', 'u', 'intel', 'community', 'spend', 'budget'"
15,"'fuel', 'narcissism', 'medium', 'elevate', 'avenatti', 'could', 'look', 'cool', 'overlook', 'obvious', 'red', 'flag', 'everyone', 'else', 'could', 'see'"
16,"'ricky', 'gervais', 'clarify', 'comment', 'office', 'cancel'"
17,"'louisiana', 'police', 'officer', 'die', 'hospital', 'friday', 'night', 'suffer', 'gunshot', 'wound', 'head', 'confrontation', 'suspect', 'near', 'local', 'high', 'school', 'accord', 'report'"
18,"'ingraham', 'angle', 'friday', 'host', 'laura', 'ingraham', 'say', 'witness', 'corrupticrats', 'go', 'wild', 'al', 'sharpton', 'call', 'movement', 'purportedly', 'protect', 'right', 'vote', 'endeavor', 'implement', 'secure', 'election', 'law'"
19,"'life', 'liberty', 'levin', 'host', 'mark', 'levin', 'join', 'hannity', 'friday', 'discuss', 'upcoming', 'release', 'new', 'book', 'american', 'marxism'"
20,"'california', 'plan', 'require', 'mask', 'student', 'fall', 'despite', 'guidance', 'center', 'disease', 'control', 'prevention', 'say', 'vaccinated', 'student', 'teacher', 'need', 'wear', 'amid', 'proper', 'physical', 'distancing'"
21,"'life', 'liberty', 'levin', 'host', 'mark', 'levin', 'join', 'hannity', 'discuss', 'people', 'begin', 'fight', 'back', 'grow', 'popularity', 'marxism', 'united', 'state'"
22,"'fox', 'news', 'host', 'sean', 'hannity', 'spend', 'friday', 'night', 'dive', 'deep', 'life', 'liberty', 'levin', 'host', 'mark', 'levin', 'late', 'book', 'american', 'marxism', 'focus', 'spread', 'radical', 'ideology', 'across', 'u', 'hannity'"
23,"'comedian', 'adam', 'carolla', 'join', 'tucker', 'carlson', 'tonight', 'friday', 'sound', 'office', 'director', 'national', 'intelligence', 'tout', 'intelligence', 'community', 'fiscal', 'year', 'annual', 'demographic', 'report'"
24,"'susana', 'mallinson', 'wait', 'year', 'husband', 'military', 'service', 'record', 'national', 'personnel', 'record', 'center', 'nprc', 'louis', 'missouri'"
25,"'green', 'fraud', 'author', 'marc', 'morano', 'join', 'fox', 'news', 'primetime', 'discuss', 'progressive', 'pressure', 'president', 'biden', 'go', 'soft', 'china', 'human', 'right', 'abuse', 'favor', 'climate', 'agenda'"
26,"'year', 'building', 'collapse', 'south', 'florida', 'leave', 'dead', 'still', 'unaccounted', 'state', 'collect', 'million', 'fee', 'condominium', 'owner', 'association', 'vacation', 'timeshares', 'mobile', 'home', 'park', 'sweep', 'million'"
27,"'fox', 'news', 'host', 'tucker', 'carlson', 'respond', 'friday', 'fox', 'news', 'primetime', 'criticism', 'revelation', 'nsa', 'reportedly', 'unmasked', 'communication', 'seek', 'interview', 'vladimir', 'putin'"
28,"'save', 'private', 'ryan', 'star', 'matt', 'damon', 'reveal', 'offer', 'lead', 'role', 'avatar', 'choose', 'film', 'jason', 'bourne', 'movie', 'instead'"
29,"'tayla', 'lynn', 'detail', 'battle', 'addiction', 'memaw', 'loretta', 'lynn', 'help', 'journey', 'sobriety'"
30,"'scarlett', 'johansson', 'say', 'plan', 'play', 'natasha', 'romanoff', 'star', 'black', 'widow'"
31,"'homeowner', 'washington', 'state', 'shot', 'kill', 'intruder', 'investigator', 'say', 'threaten', 'harm', 'family'"
32,"'president', 'seiu', 'local', 'slam', 'california', 'gov', 'gavin', 'newsom', 'democrat', 'announce', 'plan', 'close', 'california', 'correctional', 'center', 'susanville'"
33,"'donald', 'trump', 'take', 'aim', 'several', 'target', 'fiery', 'speech', 'cpac', 'dallas'"
34,"'marrying', 'million', 'star', 'bill', 'hutchinson', 'allegedly', 'battered', 'two', 'girl', 'two', 'separate', 'occasion', 'accuse', 'rap', 'one'"
35,"'iraq', 'war', 'veteran', 'paul', 'rieckhoff', 'rip', 'president', 'biden', 'recent', 'decision', 'speed', 'withdrawal', 'combat', 'troop', 'afghanistan', 'could', 'mean', 'hero', 'ground'"
36,"'pippa', 'middleton', 'husband', 'james', 'matthew', 'spot', 'enjoy', 'day', 'tennis', 'match', 'wimbledon', 'couple', 'recently', 'welcome', 'second', 'child', 'grace', 'elizabeth', 'jane', 'matthew'"
37,"'upstate', 'new', 'york', 'police', 'officer', 'pay', 'administrative', 'leave', 'authority', 'say', 'strike', 'woman', 'try', 'bite', 'altercation', 'walmart', 'accord', 'local', 'news', 'report'"
38,"'look', 'legal', 'angle', 'thing', 'right', 'cosby', 'spokesperson', 'andrew', 'wyatt', 'say', 'friday', 'appearance', 'domenick', 'nati', 'show', 'topic', 'raise', 'potential', 'state', 'compensation', 'disgraced', 'comic'"
39,"'mark', 'green', 'call', 'week', 'air', 'force', 'academy', 'professor', 'lynne', 'chandler', 'garcia', 'fire', 'publicly', 'advocate', 'military', 'academy', 'teach', 'critical', 'race', 'theory', 'incoming', 'cadet'"
40,"'new', 'jersey', 'congressional', 'hopeful', 'air', 'force', 'veteran', 'launch', 'counterattack', 'week', 'utah', 'black', 'live', 'matter', 'chapter', 'declare', 'flag', 'symbol', 'hatred', 'black', 'american', 'fourth', 'july', 'facebook', 'post'"
41,"'fox', 'nation', 'host', 'lawrence', 'jones', 'think', 'second', 'conservative', 'political', 'action', 'conference', 'cpac', 'kick', 'friday', 'dallas', 'next', 'conservative', 'leader', 'emerge'"
42,"'united', 'nation', 'human', 'right', 'investigator', 'call', 'remark', 'make', 'friday', 'israel', 'human', 'right', 'council', 'geneva', 'switzerland', 'critic', 'say', 'another', 'long', 'line', 'bias', 'stem', 'world'"
43,"'bret', 'weinstein', 'evolutionary', 'biologist', 'claim', 'friday', 'tucker', 'carlson', 'today', 'drug', 'ivermectin', 'effective', 'covid', 'would', 'moot', 'usage', 'coronavirus', 'vaccine'"
44,"'indecline', 'activist', 'art', 'collective', 'hang', 'banner', 'read', 'god', 'bless', 'abortion', 'massive', 'monument', 'jesus', 'northwestern', 'arkansas', 'week'"
45,"'immigration', 'custom', 'enforcement', 'ice', 'longer', 'detain', 'pregnant', 'nursing', 'postpartum', 'woman', 'deportation', 'reverse', 'directive', 'friday'"
46,"'dance', 'star', 'alum', 'julianne', 'hough', 'show', 'dancer', 'body', 'white', 'cutout', 'swimsuit', 'boat', 'ride', 'italian', 'vacation'"
47,"'mo', 'brook', 'run', 'republican', 'primary', 'succeed', 'retire', 'richard', 'shelby', 'alabama', 'slam', 'competitor', 'katie', 'boyd', 'britt', 'pretender', 'establishment', 'interview', 'fox', 'news', 'cpac', 'friday'"
48,"'lauren', 'wolfe', 'former', 'freelance', 'editor', 'fire', 'new', 'york', 'time', 'tweet', 'defend', 'open', 'political', 'stance', 'titled', 'biased', 'journalist', 'okay'"
49,"'work', 'computer', 'want', 'use', 'thumb', 'message', 'send', 'message', 'straight', 'pc', 'mac', 'simple', 'set'"
50,"'donald', 'trump', 'pledge', 'everywhere', 'midterm', 'republican', 'aim', 'win', 'back', 'majority', 'house', 'senate'"
51,"'president', 'biden', 'fire', 'social', 'security', 'commissioner', 'andrew', 'saul', 'friday', 'amid', 'ongoing', 'dispute', 'leadership', 'independent', 'agency', 'responsible', 'administer', 'retirement', 'disability', 'benefit'"
52,"'olympic', 'trial', 'past', 'week', 'see', 'may', 'stand', 'atop', 'podium', 'america', 'trial', 'double', 'dress', 'rehearsal', 'possible', 'protest', 'american', 'athlete', 'game'"
53,"'president', 'biden', 'look', 'los', 'angeles', 'mayor', 'eric', 'garcetti', 'next', 'ambassador', 'india'"
54,"'struggle', 'cnn', 'single', 'program', 'surpass', 'viewer', 'plateau', 'thursday'"
55,"'mother', 'young', 'man', 'murder', 'chicago', 'south', 'side', 'urge', 'action', 'city', 'illinois', 'state', 'leader', 'america', 'report'"
56,"'mainstream', 'medium', 'bias', 'favor', 'critical', 'race', 'theory', 'light', 'fire', 'concerned', 'parent', 'texas', 'school', 'board', 'member', 'education', 'advocate', 'hannah', 'smith', 'say', 'friday'"
57,"'jennifer', 'lopez', 'return', 'work', 'beverly', 'hill', 'office', 'spend', 'romantic', 'weekend', 'ben', 'affleck'"
58,"'utah', 'senator', 'say', 'critical', 'race', 'theory', 'weaponize', 'diversity'"
59,"'iraqi', 'war', 'veteran', 'claim', 'punish', 'long', 'island', 'judge', 'call', 'veteran', 'affair', 'helpline', 'messy', 'child', 'custody', 'case', 'ultimately', 'cost', 'time', 'two', 'kid'"
60,"'grammy', 'sin', 'singer', 'harry', 'style', 'see', 'smooch', 'actress', 'olivia', 'wilde', 'italian', 'getaway'"
61,"'week', 'president', 'biden', 'announce', 'thursday', 'troop', 'come', 'home', 'afghanistan', 'august', 'run', 'ahead', 'schedule', 'original', 'september', 'deadline', 'president', 'defend', 'decision', 'withdraw', 'troop', 'afghanistan'"
62,"'one', 'family', 'lose', 'everything', 'surfside', 'condo', 'collapse', 'last', 'month', 'receive', 'small', 'miracle', 'friday', 'cat', 'find', 'alive'"
63,"'president', 'biden', 'tell', 'russian', 'president', 'vladimir', 'putin', 'friday', 'disrupt', 'ransomware', 'group', 'operate', 'russia', 'amid', 'another', 'series', 'attack', 'week'"
64,"'diocese', 'la', 'crosse', 'say', 'statement', 'friday', 'bishop', 'william', 'patrick', 'callahan', 'issue', 'decree', 'immediately', 'remove', 'father', 'james', 'altman', 'jam', 'le', 'parish', 'city', 'la', 'crosse', 'border'"
65,"'resident', 'south', 'florida', 'condo', 'force', 'evacuate', 'concern', 'building', 'structural', 'integrity', 'allow', 'return', 'retrieve', 'essential', 'item', 'friday', 'official', 'say'"
66,"'tomorrow', 'promise', 'morris', 'ink', 'out', 'side', 'left', 'arm', 'share', 'series', 'photo', 'video', 'instagram', 'process', 'also', 'remember', 'rivera', 'portrait', 'snap'"
67,"'loudoun', 'county', 'virginia', 'high', 'school', 'dish', 'racial', 'equity', 'firm', 'already', 'collect', 'nearly', 'half', 'million', 'dollar', 'county', 'provide', 'race', 'program', 'document', 'show'"
68,"'seven', 'people', 'apprehend', 'enter', 'vermont', 'illegally', 'quebec', 'drive', 'across', 'lawn', 'library', 'built', 'united', 'state', 'canada', 'immediately', 'return', 'canada', 'border', 'patrol', 'say', 'thursday'"
69,"'white', 'house', 'friday', 'defend', 'deal', 'broker', 'allow', 'hunter', 'biden', 'artwork', 'could', 'list', 'high', 'sell', 'anonymous', 'buyer', 'disclosure', 'public'"
70,"'kim', 'kardashian', 'show', 'bikini', 'body', 'social', 'medium', 'friday', 'vacation', 'palm', 'spring'"
71,"'haack', 'go', 'public', 'relationship', 'new', 'beau', 'josh', 'hall', 'finalize', 'divorce', 'ant', 'anstead', 'june'"
72,"'fox', 'news', 'contributor', 'ari', 'fleischer', 'blast', 'mainstream', 'medium', 'america', 'report', 'friday', 'tremendous', 'damage', 'country', 'unfair', 'treatment', 'former', 'president', 'trump', 'include', 'fawn', 'coverage', 'president', 'disgraced', 'lawyer'"
73,"'duo', 'north', 'carolina', 'rescue', 'miss', 'boater', 'mile', 'coast', 'empty', 'vessel', 'nearly', 'ram'"
74,"'department', 'homeland', 'security', 'dhs', 'secretary', 'alejandro', 'mayorkas', 'announce', 'new', 'counterterrorism', 'intelligence', 'official', 'department', 'senior', 'leadership', 'team', 'six', 'month', 'capitol', 'riot'"
75,"'justice', 'department', 'doj', 'announce', 'week', 'provide', 'million', 'funding', 'body', 'camera', 'small', 'law', 'enforcement', 'agency', 'abide', 'increase', 'demand', 'standard', 'policing'"
