,text_final
61,"'facebook', 'enter', 'subscription', 'newsletter', 'industry', 'concern'"
62,"'chief', 'new', 'york', 'spend', 'month', 'investigate', 'flight', 'crash', 'minute', 'takeoff', 'kill', 'people', 'board'"
63,"'assassination', 'rock', 'nation', 'stoke', 'fear', 'confusion', 'come'"
64,"'draw', 'cartoon', 'new', 'yorker', 'populate', 'clown', 'snowman', 'cat', 'dog', 'elvis', 'career', 'magazine', 'end', 'cloud'"
65,"'protest', 'ban', 'fan', 'new', 'sport', 'like', 'surf', 'skateboarding', 'time', 'journalist', 'discuss', 'make', 'tokyo', 'unique'"
66,"'economy', 'remain', 'hot', 'future', 'look', 'less', 'buoyant', 'short', 'ago'"
67,"'two', 'documentary', 'take', 'different', 'approach', 'star', 'subject', 'one', 'actor', 'val', 'kilmer', 'prefers', 'lou', 'reed', 'welcomes', 'complication'"
68,"'contribute', 'movie', 'husband', 'bernardo', 'bertolucci', 'occasionally', 'make', 'include', 'triumph', 'love'"
69,"'economy', 'remain', 'hot', 'future', 'look', 'less', 'buoyant', 'short', 'ago'"
70,"'second', 'attempt', 'pass', 'sweeping', 'election', 'overhaul', 'republican', 'lawmaker', 'follow', 'broad', 'outline', 'first', 'include', 'wide', 'range', 'measure', 'limit', 'vote', 'access'"
71,"'european', 'union', 'reopen', 'visitor', 'united', 'state', 'traffic', 'clue', 'change'"
72,"'suspect', 'detain', 'haiti'"
73,"'follow', 'heart', 'even', 'disappoint', 'parent'"
74,"'island', 'queen', 'vanessa', 'riley', 'introduces', 'reader', 'dorothy', 'kirwan', 'thomas', 'caribbean', 'entrepreneur', 'secure', 'freedom', 'enslaved', 'people'"
75,"'leonardo', 'magic', 'name', 'dealer', 'say', 'renaissance', 'master', 'work', 'even', 'copy', 'work', 'continue', 'fetch', 'price'"
76,"'least', 'afghan', 'security', 'force', 'civilian', 'kill', 'afghanistan', 'first', 'eight', 'day', 'july'"
77,"'suggest', 'reading', 'critic', 'editor', 'new', 'york', 'time'"
78,"'haitian', 'official', 'identify', 'american', 'james', 'solages', 'south', 'florida', 'resident', 'haitian', 'descent'"
79,"'fidji', 'simo', 'new', 'chief', 'work', 'facebook', 'advertising', 'business', 'help', 'develop', 'part', 'company', 'mobile', 'advertising'"
80,"'haitian', 'official', 'urge', 'angry', 'citizen', 'stay', 'home', 'let', 'police', 'hunt', 'assassin'"
81,"'new', 'york', 'time', 'cover', 'spell', 'bee', 'large', 'small', 'almost', 'year', 'continue', 'tradition', 'thursday'"
82,"'pope', 'francis', 'often', 'muse', 'mortality', 'even', 'possible', 'resignation', 'race', 'recast', 'church', 'time', 'essence', 'ever'"
83,"'raffaella', 'carrà', 'spend', 'five', 'decade', 'beam', 'home', 'italian', 'television', 'public', 'mourning', 'precedent', 'italy'"
84,"'kathryn', 'garcia', 'maya', 'wiley', 'place', 'second', 'third', 'democratic', 'mayoral', 'primary', 'many', 'new', 'yorkers', 'hop', 'glass', 'ceiling', 'would', 'finally', 'break'"
85,"'letter', 'winred', 'actblue', 'process', 'online', 'campaign', 'donation', 'republican', 'democrat', 'respectively', 'ask', 'document', 'relate', 'use', 'prechecked', 'box'"
86,"'daughter', 'founding', 'president', 'sukarno', 'feud', 'old', 'sister', 'would', 'inherit', 'mantle', 'lose', 'fight', 'die'"
87,"'loan', 'servicer', 'decision', 'almost', 'certainly', 'complicate', 'matter', 'borrower', 'soon', 'start', 'make', 'payment'"
88,"'scientist', 'take', 'crack', 'recreate', 'hypnotic', 'fractal', 'spiral', 'romanesco', 'cauliflower'"
89,"'scientist', 'take', 'crack', 'recreate', 'hypnotic', 'fractal', 'spiral', 'romanesco', 'cauliflower'"
90,"'stay', 'warm', 'frigid', 'sea', 'marine', 'mammal', 'rely', 'unexpected', 'use', 'powerhouse', 'cell'"
91,"'perfect', 'crystal', 'ice', 'microfiber', 'show', 'flexibility', 'material', 'usually', 'assume', 'rather', 'brittle'"
92,"'agency', 'face', 'criticism', 'approve', 'aduhelm', 'alzheimer', 'patient', 'new', 'label', 'recommend', 'drug', 'give', 'patient', 'mild', 'symptom'"
93,"'filmmaker', 'manuel', 'crosby', 'darren', 'knapp', 'pack', 'debut', 'star', 'tyson', 'brown', 'shelby', 'duclos', 'oddball', 'leave', 'turn', 'script', 'heart'"
94,"'debut', 'feature', 'performance', 'richard', 'pryor', 'harvey', 'keitel', 'short', 'run', 'film', 'forum'"
95,"'ol', 'li', 'denis', 'shapovalov', 'wimbeldon', 'remember', 'new', 'york', 'time', 'li', 'opinion', 'push', 'tennis', 'legend', 'roger', 'federer', 'serena', 'williams', 'retirement', 'regret', 'yahoo', 'sport', 'li', 'roger', 'federer', 'rout', 'wimbledon'"
96,"'finding', 'suggest', 'recovery', 'pandemic', 'may', 'take', 'long', 'time', 'could', 'affect', 'people', 'view', 'relationship', 'time'"
97,"'mike', 'white', 'satire', 'hbo', 'tale', 'money', 'death', 'customer', 'service'"
98,"'despite', 'hope', 'internet', 'erase', 'pressure', 'struggle', 'old', 'way'"
99,"'spread', 'fast', 'south', 'america', 'variant', 'still', 'mystery', 'one', 'know', 'whether', 'contagious', 'variant', 'affect', 'vaccine'"
