,text_final
0,"'member', 'gen', 'z', 'seem', 'agree', 'elder', 'one', 'thing', 'email', 'ugh', 'lucky', 'maybe', 'one', 'day', 'save', 'everyone', 'overflow', 'inboxes'"
1,"'haitian', 'official', 'also', 'look', 'whether', 'nation', 'security', 'apparatus', 'involve', 'plan', 'assassination', 'ask', 'military', 'help'"
2,"'thousand', 'child', 'lose', 'parent', 'calamitous', 'wave', 'infection', 'government', 'vow', 'help', 'many', 'face', 'risk', 'neglect', 'exploitation', 'attention', 'fade'"
3,"'senator', 'maggie', 'hassan', 'former', 'governor', 'state', 'work', 'burnish', 'centrist', 'image', 'without', 'make', 'political', 'wave'"
4,"'adam', 'democratic', 'mayoral', 'nominee', 'stance', 'policing', 'transportation', 'education', 'suggest', 'shift', 'mayor', 'bill', 'de', 'blasio'"
5,"'value', 'million', 'haitian', 'senator', 'montreal', 'villa', 'become', 'potent', 'emblem', 'grow', 'gap', 'haiti', 'impoverish', 'citizen', 'wealthy', 'political', 'elite'"
6,"'actually', 'crazy', 'outdated', 'people', 'bear', 'aol', 'mail', 'invent', 'seem', 'prefer', 'communicate', 'almost', 'way'"
7,"'pet', 'policy', 'always', 'straightforward', 'seem', 'sometimes', 'apply', 'tenant', 'others', 'building'"
8,"'bone', 'pick', 'germany', 'unicorn', 'cave', 'plus', 'firefly', 'sync', 'peer', 'review', 'crisis', 'china', 'astronaut', 'work', 'spacesuit'"
9,"'crypto', 'people', 'say', 'building', 'gamers', 'might', 'already', 'live', 'art', 'world', 'cash', 'web', 'veteran', 'try', 'save'"
10,"'expert', 'love', 'zipper', 'merge', 'driver', 'likely', 'see', 'others', 'rudely', 'cut', 'turn', 'line'"
11,"'center', 'matchup', 'milwaukee', 'brook', 'lopez', 'phoenix', 'deandre', 'ayton', 'pit', 'two', 'era', 'basketball'"
12,"'biden', 'phone', 'call', 'appear', 'pointed', 'ultimatum', 'stop', 'hacker', 'attack', 'computer', 'network', 'united', 'state', 'relative', 'impunity'"
13,"'pioneer', 'academic', 'field', 'hawaiian', 'study', 'devote', 'life', 'promotion', 'indigenous', 'sovereignty', 'within', 'state'"
14,"'anticipated', 'brief', 'file', 'seal', 'say', 'take', 'position', 'whether', 'constitution', 'due', 'process', 'clause', 'protect', 'detainee'"
15,"'dismissal', 'late', 'effort', 'president', 'biden', 'oust', 'director', 'independent', 'executive', 'agency', 'could', 'set', 'legal', 'showdown', 'rightfully', 'hold', 'position'"
16,"'agency', 'advice', 'distancing', 'mask', 'vaccination', 'bring', 'come', 'school', 'year', 'bit', 'focus'"
17,"'democrat', 'want', 'flee', 'state', 'deny', 'republicans', 'quorum', 'prevent', 'vote', 'stringent', 'new', 'restriction', 'voting', 'others', 'want', 'fight', 'procedural', 'ground'"
18,"'contradictory', 'data', 'contest', 'claim', 'highly', 'speculative', 'research', 'seem', 'behind', 'olympic', 'ban', 'cannabinoids'"
19,"'ol', 'li', 'novak', 'djokovic', 'matteo', 'berrettini', 'wimbledon', 'final', 'new', 'york', 'time', 'li', 'novak', 'djokovic', 'face', 'matteo', 'berrettini', 'wimbledon', 'final', 'espn', 'li', 'novak', 'djokovic', 'edge', 'closer', 'history', 'reach', 'wimbledon', 'final', 'cnn'"
20,"'least', 'people', 'arrest', 'assassination', 'haitian', 'president', 'colombian', 'american', 'haitian', 'descent', 'day', 'deepen', 'mystery'"
21,"'statue', 'center', 'deadly', 'unite', 'right', 'rally', 'city', 'say', 'plan', 'remove', 'saturday', 'along', 'monument', 'stonewall', 'jackson'"
22,'overdo'
23,"'previous', 'editorial', 'director', 'medium', 'resign', 'memo', 'cause', 'staff', 'revolt'"
24,"'andrew', 'saul', 'trump', 'holdover', 'draw', 'democrat', 'ire', 'vow', 'fight', 'dismissal'"
25,"'week', 'canada', 'large', 'indigenous', 'organization', 'select', 'woman', 'chief', 'first', 'time', 'inuk', 'name', 'governor', 'general', 'canada', 'first', 'indigenous', 'justice', 'minister', 'say', 'leave', 'politics'"
26,"'explosion', 'park', 'near', 'state', 'broadcasting', 'company', 'rock', 'iran', 'capital', 'early', 'saturday', 'morning', 'casualty', 'report', 'uncertain', 'blast', 'attack', 'accident'"
27,"'one', 'tell', 'wife', 'leave', 'home', 'good', 'job', 'colombian', 'military', 'veteran', 'know', 'act', 'hired', 'gun', 'follow', 'service'"
28,"'arm', 'group', 'become', 'increasingly', 'powerful', 'haiti', 'play', 'political', 'instability', 'grow', 'poverty', 'seize', 'control', 'large', 'swath', 'big', 'city'"
29,"'story', 'walk', 'cowrie', 'shell', 'span', 'genre', 'generation', 'geography'"
30,"'baking', 'could', 'comforting', 'solitary', 'pursuit', 'stick', 'home', 'pandemic', 'online', 'bake', 'collabs', 'offer', 'way', 'create', 'together'"
31,"'want', 'know', 'teacher', 'try', 'move', 'one', 'challenging', 'academic', 'year', 'ever'"
32,"'wildlife', 'official', 'believe', 'bear', 'grizzly', 'kill', 'california', 'woman', 'tuesday', 'give', 'proximity', 'attack', 'evidence', 'find', 'scene'"
33,"'haiti', 'need', 'cooperation', 'international', 'friend', 'pay', 'attention', 'character', 'goal', 'extend', 'support'"
34,"'troop', 'pull', 'leave', 'behind', 'humvee'"
35,"'union', 'also', 'acknowledge', 'challenge', 'lay', 'ahead', 'especially', 'give', 'vaccine', 'authorize', 'student'"
36,"'overscheduling', 'extracurriculars', 'put', 'front', 'screen', 'choice'"
37,"'alexis', 'soloski', 'considers', 'four', 'currently', 'run', 'quite', 'word', 'new', 'york', 'city', 'suggest', 'good', 'reintroduction', 'experience', 'audience', 'member', 'new', 'york', 'time', 'new', 'york', 'time'"
38,"'dead', 'desolate', 'stretch', 'property', 'hideous', 'hardly', 'stand', 'look', 'smother', 'roll', 'fake', 'grass', 'might', 'actually', 'upgrade', 'make', 'investment', 'think'"
39,"'bold', 'move', 'stewart', 'rhodes', 'founder', 'leader', 'militia', 'group', 'sit', 'interview', 'federal', 'agent', 'seize', 'phone', 'may'"
40,"'heat', 'expect', 'throughout', 'west', 'coast', 'weekend', 'day', 'deadly', 'heat', 'wave', 'strike', 'oregon', 'washington', 'state'"
41,"'american', 'suddenly', 'feel', 'good'"
42,"'entomological', 'society', 'america', 'longer', 'refer', 'common', 'specie', 'insect', 'gypsy', 'moth', 'gypsy', 'ant', 'name', 'derogatory', 'romani', 'people'"
43,"'small', 'soccer', 'museum', 'florence', 'tell', 'story', 'italian', 'national', 'team', 'fan', 'hope', 'euro', 'final', 'match'"
44,"'jonathan', 'balcombe', 'talk', 'super', 'fly', 'marjorie', 'ingall', 'discus', 'holocaust', 'literature', 'child'"
45,"'fourth', 'season', 'masterpiece', 'drama', 'keep', 'delicate', 'balance', 'mystery', 'melodrama', 'compassion'"
46,"'small', 'soccer', 'museum', 'florence', 'tell', 'story', 'italian', 'national', 'team', 'fan', 'hope', 'euro', 'final', 'match'"
47,"'agency', 'act', 'head', 'say', 'review', 'look', 'whether', 'interaction', 'agency', 'staff', 'drug', 'developer', 'biogen', 'break', 'rule'"
48,"'classic', 'persian', 'dish', 'meal', 'need', 'life'"
